patient,sex,status,sample,lane,fastq_1,fastq_2
WT_P30_1,XX,1,WT_P30_1,HVCK3DSX2_L4,/home/project/11003581/Data/sep-function/b1-fastqs/WT/WT_P30_1/WT_P30_1_EDHG210027025-1a_HVCK3DSX2_L4_1.fq.gz,/home/project/11003581/Data/sep-function/b1-fastqs/WT/WT_P30_1/WT_P30_1_EDHG210027025-1a_HVCK3DSX2_L4_2.fq.gz
WT_P30_1,XX,1,WT_P30_1,HVCKJDSX2_L3,/home/project/11003581/Data/sep-function/b1-fastqs/WT/WT_P30_1/WT_P30_1_EDHG210027025-1a_HVCKJDSX2_L3_1.fq.gz,/home/project/11003581/Data/sep-function/b1-fastqs/WT/WT_P30_1/WT_P30_1_EDHG210027025-1a_HVCKJDSX2_L3_2.fq.gz
WT_P30_2,XX,1,WT_P30_2,HVCKJDSX2_L1,/home/project/11003581/Data/sep-function/b1-fastqs/WT/WT_P30_2/WT_P30_2_EDHG210027026-1a_HVCKJDSX2_L1_1.fq.gz,/home/project/11003581/Data/sep-function/b1-fastqs/WT/WT_P30_2/WT_P30_2_EDHG210027026-1a_HVCKJDSX2_L1_2.fq.gz
WT_P30_3,XX,1,WT_P30_3,HVCKJDSX2_L1,/home/project/11003581/Data/sep-function/b1-fastqs/WT/WT_P30_3/WT_P30_3_EDHG210027027-1a_HVCKJDSX2_L1_1.fq.gz,/home/project/11003581/Data/sep-function/b1-fastqs/WT/WT_P30_3/WT_P30_3_EDHG210027027-1a_HVCKJDSX2_L1_2.fq.gz
WT_P30_4,XX,1,WT_P30_4,HKFHKDSX3_L2,/home/project/11003581/Data/sep-function/b1-fastqs/WT/WT_P30_4/WT_P30_1_EDHG220013938-3a_HKFHKDSX3_L2_1.fq.gz,/home/project/11003581/Data/sep-function/b1-fastqs/WT/WT_P30_4/WT_P30_1_EDHG220013938-3a_HKFHKDSX3_L2_2.fq.gz
WT_P30_4,XX,1,WT_P30_4,HKFHKDSX3_L4,/home/project/11003581/Data/sep-function/b1-fastqs/WT/WT_P30_4/WT_P30_1_EDHG220013938-3a_HKFHKDSX3_L4_1.fq.gz,/home/project/11003581/Data/sep-function/b1-fastqs/WT/WT_P30_4/WT_P30_1_EDHG220013938-3a_HKFHKDSX3_L4_2.fq.gz
WT_P30_4,XX,1,WT_P30_4,HKFMGDSX3_L4,/home/project/11003581/Data/sep-function/b1-fastqs/WT/WT_P30_4/WT_P30_1_EDHG220013938-3a_HKFMGDSX3_L4_1.fq.gz,/home/project/11003581/Data/sep-function/b1-fastqs/WT/WT_P30_4/WT_P30_1_EDHG220013938-3a_HKFMGDSX3_L4_2.fq.gz
WT_P30_5,XX,1,WT_P30_5,HKFNWDSX3_L1,/home/project/11003581/Data/sep-function/b1-fastqs/WT/WT_P30_5/WT_P30_2_EDHG220013939-3a_HKFNWDSX3_L1_1.fq.gz,/home/project/11003581/Data/sep-function/b1-fastqs/WT/WT_P30_5/WT_P30_2_EDHG220013939-3a_HKFNWDSX3_L1_2.fq.gz
WT_P30_6,XX,1,WT_P30_6,HKFNWDSX3_L1,/home/project/11003581/Data/sep-function/b1-fastqs/WT/WT_P30_6/WT_P30_3_EDHG220013940-3a_HKFNWDSX3_L1_1.fq.gz,/home/project/11003581/Data/sep-function/b1-fastqs/WT/WT_P30_6/WT_P30_3_EDHG220013940-3a_HKFNWDSX3_L1_2.fq.gz
WT_P30_7,XX,1,WT_P30_7,HKFNWDSX3_L1,/home/project/11003581/Data/sep-function/b1-fastqs/WT/WT_P30_7/WT_P30_4_EDHG220013941-3a_HKFNWDSX3_L1_1.fq.gz,/home/project/11003581/Data/sep-function/b1-fastqs/WT/WT_P30_7/WT_P30_4_EDHG220013941-3a_HKFNWDSX3_L1_2.fq.gz
WT_P30_8,XX,1,WT_P30_8,HKFNWDSX3_L1,/home/project/11003581/Data/sep-function/b1-fastqs/WT/WT_P30_8/WT_P30_5_EDHG220013942-3a_HKFNWDSX3_L1_1.fq.gz,/home/project/11003581/Data/sep-function/b1-fastqs/WT/WT_P30_8/WT_P30_5_EDHG220013942-3a_HKFNWDSX3_L1_2.fq.gz
WT_P30_9,XX,1,WT_P30_9,HKFMGDSX3_L4,/home/project/11003581/Data/sep-function/b1-fastqs/WT/WT_P30_9/WT_P30_6_EDHG220013943-3a_HKFMGDSX3_L4_1.fq.gz,/home/project/11003581/Data/sep-function/b1-fastqs/WT/WT_P30_9/WT_P30_6_EDHG220013943-3a_HKFMGDSX3_L4_2.fq.gz
WT_P30_9,XX,1,WT_P30_9,HKFNWDSX3_L1,/home/project/11003581/Data/sep-function/b1-fastqs/WT/WT_P30_9/WT_P30_6_EDHG220013943-3a_HKFNWDSX3_L1_1.fq.gz,/home/project/11003581/Data/sep-function/b1-fastqs/WT/WT_P30_9/WT_P30_6_EDHG220013943-3a_HKFNWDSX3_L1_2.fq.gz
WT_P30_10,XX,1,WT_P30_10,HKFNWDSX3_L1,/home/project/11003581/Data/sep-function/b1-fastqs/WT/WT_P30_10/WT_P30_7_EDHG220013944-3a_HKFNWDSX3_L1_1.fq.gz,/home/project/11003581/Data/sep-function/b1-fastqs/WT/WT_P30_10/WT_P30_7_EDHG220013944-3a_HKFNWDSX3_L1_2.fq.gz